[12.06.2017 | 14:21:05] @zekro [221905671296253953] :   Wenn ihr noch ideen habt, was der @?? Knecht können sollte, haut raus ?
[12.06.2017 | 14:21:15] @naix [200627281817763840] :   was kann er denn schon
[12.06.2017 | 14:21:17] @naix [200627281817763840] :   ?
[12.06.2017 | 14:21:42] @zekro [221905671296253953] :   Den @?? zekroBot neu starten bzw. starten, wenn er off ist. Und den !invite command ^^ Also nicht viel ?
[12.06.2017 | 14:22:14] @zekro [221905671296253953] :   nen lmgtfy command könnte man noch einbauen ^^
[12.06.2017 | 14:25:45] @The Brandy [286521349025955840] :   hui wie haste den command gemacht XD?
[12.06.2017 | 14:25:48] @naix [200627281817763840] :   #ger-general :lul:
[12.06.2017 | 14:26:50] @The Brandy [286521349025955840] :   @? naix  do not steal my text xD
[12.06.2017 | 14:27:02] @naix [200627281817763840] :   ¯\_(?)_/¯
[12.06.2017 | 14:27:35] @The Brandy [286521349025955840] :   -.-
[12.06.2017 | 15:04:23] @zekrosBot [272336949841362944] :   ?  Hey @TheDeepSpacer! Welcome on the D?RK DEVS   -   Developer Community Server!  ?
[12.06.2017 | 17:21:34] @zekrosBot [272336949841362944] :   ?  Hey @TheDeepSpacer! Welcome on the D?RK DEVS   -   Developer Community Server!  ?
[12.06.2017 | 17:22:46] @????????? [257905689249185792] :   !invite
[12.06.2017 | 17:22:46] @Knecht [323587299617275904] :   **COMMAND USAGE:**
`!invite <botID>`

*The bot ID you get from there (Client ID: ...): 
https://discordapp.com/developers/applications/me*
[12.06.2017 | 19:48:13] @Rise Of Chaos [209686482900746242] :   !help
[12.06.2017 | 19:48:32] @Rise Of Chaos [209686482900746242] :   -help
[12.06.2017 | 20:13:33] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:13:44] @Rise Of Chaos [209686482900746242] :   .clear 1
[12.06.2017 | 20:13:45] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:13:47] @Rise Of Chaos [209686482900746242] :   .clear 2
[12.06.2017 | 20:13:47] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:13:51] @Rise Of Chaos [209686482900746242] :   .ckear 3
[12.06.2017 | 20:13:53] @naix [200627281817763840] :   :lul:
[12.06.2017 | 20:13:55] @Rise Of Chaos [209686482900746242] :   .clear 3
[12.06.2017 | 20:13:55] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:13:59] @Rise Of Chaos [209686482900746242] :   .clear 2
[12.06.2017 | 20:13:59] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:14:02] @Rise Of Chaos [209686482900746242] :   .clear 3
[12.06.2017 | 20:14:02] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:16:44] @zekrosBot [272336949841362944] :   ?  Hey @LarsLary! Welcome on the D?RK DEVS   -   Developer Community Server!  ?
[12.06.2017 | 20:49:02] @Skillkiller [98719514908188672] :   Hi
[12.06.2017 | 20:49:02] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:49:13] @Skillkiller [98719514908188672] :   @? Rise of Chaos please fix it
[12.06.2017 | 20:49:13] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:49:19] @Skillkiller [98719514908188672] :   -bug
[12.06.2017 | 20:49:20] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:49:36] @Skillkiller [98719514908188672] :   .bug
[12.06.2017 | 20:49:37] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:49:53] @Rise Of Chaos [209686482900746242] :   im fixing
[12.06.2017 | 20:50:04] @Skillkiller [98719514908188672] :   Thank you ?
[12.06.2017 | 20:50:04] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:51:37] @Rise Of Chaos [209686482900746242] :   @Skillkiller test now
[12.06.2017 | 20:51:43] @Skillkiller [98719514908188672] :   hi
[12.06.2017 | 20:51:43] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:51:47] @Rise Of Chaos [209686482900746242] :   omg
[12.06.2017 | 20:51:55] @Skillkiller [98719514908188672] :   ?
[12.06.2017 | 20:51:55] @Unique Bot [302932668344172545] :   
[12.06.2017 | 20:52:01] @Rise Of Chaos [209686482900746242] :   wait
[12.06.2017 | 20:55:01] @Rise Of Chaos [209686482900746242] :   @Skillkiller try something
[12.06.2017 | 20:55:39] @Skillkiller [98719514908188672] :   tet
[12.06.2017 | 20:55:42] @Skillkiller [98719514908188672] :   Nice
[12.06.2017 | 20:55:47] @Rise Of Chaos [209686482900746242] :   ty
