[13.06.2017 | 18:29:38] @Lord Nightcore [315499915851857922] :   -dev
[13.06.2017 | 18:29:38] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:30:33] @Lord Nightcore [315499915851857922] :   -dev html
[13.06.2017 | 18:30:33] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:31:34] @TheDeepSpacer [161855472926720001] :   -dev java c#  c++ c html css
[13.06.2017 | 18:31:34] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:32:13] @TheDeepSpacer [161855472926720001] :   -dev java
[13.06.2017 | 18:32:13] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:32:19] @TheDeepSpacer [161855472926720001] :   -dev c#
[13.06.2017 | 18:32:19] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:32:34] @TheDeepSpacer [161855472926720001] :   -dev c++
[13.06.2017 | 18:32:35] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:32:52] @TheDeepSpacer [161855472926720001] :   -dev c
[13.06.2017 | 18:32:52] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:33:01] @naix [200627281817763840] :   du kannst mehrere argumente angeben-
[13.06.2017 | 18:33:08] @naix [200627281817763840] :   du musst nicht alles einzeln machen
[13.06.2017 | 18:33:09] @TheDeepSpacer [161855472926720001] :   ging iwie nicht
[13.06.2017 | 18:33:16] @Lord Nightcore [315499915851857922] :   wollt ich grad sagen ?
[13.06.2017 | 18:33:25] @TheDeepSpacer [161855472926720001] :   -dev html css
[13.06.2017 | 18:33:25] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:33:28] @Lord Nightcore [315499915851857922] :   - dev html java
[13.06.2017 | 18:33:30] @TheDeepSpacer [161855472926720001] :   lol jetzt gehts
[13.06.2017 | 18:33:39] @Lord Nightcore [315499915851857922] :   -dev html java
[13.06.2017 | 18:33:39] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:33:57] @Lord Nightcore [315499915851857922] :   how can i remove roles?
[13.06.2017 | 18:47:11] @AveronTV [170815084271108096] :   idk
[13.06.2017 | 20:15:33] @Hydroxion [143717568773881866] :   -dev java
[13.06.2017 | 20:15:34] @zekrosBot [272336949841362944] :   
[13.06.2017 | 20:26:16] @Lord Nightcore [315499915851857922] :   -invite
[13.06.2017 | 20:26:53] @Lord Nightcore [315499915851857922] :   how can i invite zekros bot to my own channel. is that possible?
[13.06.2017 | 20:34:22] @Hydroxion [143717568773881866] :   -dev
[13.06.2017 | 20:34:22] @zekrosBot [272336949841362944] :   
[13.06.2017 | 21:22:57] @The Brandy [286521349025955840] :   @Lord Nightcore juat go to Zekro Githup page^^
[13.06.2017 | 21:23:00] @The Brandy [286521349025955840] :   just xD
[13.06.2017 | 21:25:03] @Lord Nightcore [315499915851857922] :   what would i do without you @The Brandy
[13.06.2017 | 21:25:43] @The Brandy [286521349025955840] :   @Lord Nightcore you have hit by train i think xD
