[07.06.2017 | 01:10:50] @Annondir:   !log create
[07.06.2017 | 01:15:28] @naix:   erster [lenny]
[07.06.2017 | 01:15:50] @Annondir:   😝
[07.06.2017 | 12:17:12] @The Skool [286521349025955840] :   3nd
[07.06.2017 | 12:17:13] @The Skool [286521349025955840] :   xD
[07.06.2017 | 13:05:39] @AveronTV [170815084271108096] :   4th
[07.06.2017 | 13:05:44] @AveronTV [170815084271108096] :   xD
[07.06.2017 | 14:32:37] @ᏕᏬᏰᏒᎧᎧᏇᏦᎤ [257905689249185792] :   trash
[07.06.2017 | 14:32:39] @ᏕᏬᏰᏒᎧᎧᏇᏦᎤ [257905689249185792] :   lol
[07.06.2017 | 15:32:52] @The Skool [286521349025955840] :   6nd
[07.06.2017 | 15:32:55] @The Skool [286521349025955840] :   xD
