[07.06.2017 | 18:27:35] @Annondir [285510544532832258] :   !log create
[07.06.2017 | 19:20:45] @Annondir [285510544532832258] :   Ab Montag kÃ¶nnte ich dann theoretisch mitspielen, brÃ¤uchte nur noch nen chara
[07.06.2017 | 19:20:49] @Annondir [285510544532832258] :   [happy]
[07.06.2017 | 19:27:57] @Eradan [222695270377455617] :   w20
[07.06.2017 | 19:27:57] @DSABot [320884264956723203] :   6
[07.06.2017 | 19:39:28] @Eradan [222695270377455617] :   w20
[07.06.2017 | 19:39:29] @DSABot [320884264956723203] :   7
[07.06.2017 | 20:09:28] @Lea [Firiel] [257980400599564292] :   leute hab doch noch zeit stÃ¶rts euch wenn ich bissl zuhÃ¶re?
[07.06.2017 | 20:09:39] @Eradan [222695270377455617] :   mich nicht
[07.06.2017 | 20:09:39] @Blacky [SkjÃ¶ll] [306128089266520066] :   geselle dich zu uns
[07.06.2017 | 20:13:48] @Eradan [222695270377455617] :   w20
[07.06.2017 | 20:13:49] @DSABot [320884264956723203] :   19
[07.06.2017 | 20:20:21] @Lea [Firiel] [257980400599564292] :   firuns heil wenn dann
[07.06.2017 | 20:20:43] @Eradan [222695270377455617] :   ok
[07.06.2017 | 20:21:18] @Annondir [285510544532832258] :   ich will DSA spielen, hab aber noch keinen Chara und fahre ja morgen weg
[07.06.2017 | 20:21:20] @Annondir [285510544532832258] :   [sad]
[07.06.2017 | 20:23:01] @Eradan [222695270377455617] :   w20
[07.06.2017 | 20:23:01] @DSABot [320884264956723203] :   9
[07.06.2017 | 21:26:00] @Annondir [285510544532832258] :   !messages
[07.06.2017 | 21:26:00] @Annondir [285510544532832258] :   18
[07.06.2017 | 22:47:28] @Lea [Firiel] [257980400599564292] :   spielt ihr noch?
[07.06.2017 | 22:47:35] @Eradan [222695270377455617] :   ja
[07.06.2017 | 22:47:41] @Eradan [222695270377455617] :   sind grad am arsch
[07.06.2017 | 22:49:16] @Annondir [285510544532832258] :   Warum? xD
[07.06.2017 | 22:49:25] @Eradan [222695270377455617] :   weils so ist
[07.06.2017 | 22:49:32] @Annondir [285510544532832258] :   ah xD
[07.06.2017 | 23:57:03] @Blacky [Skjöll] [306128089266520066] :   wenn ihr wollt können wir in 20 min was weiter spielen :3
[07.06.2017 | 23:57:07] @Blacky [Skjöll] [306128089266520066] :   15-20
[07.06.2017 | 23:57:25] @Lea [284381796559355904] :   ne du ich war grad am ins bett gehen ?
[07.06.2017 | 23:57:30] @Blacky [Skjöll] [306128089266520066] :   dann schlaf gutt
[07.06.2017 | 23:57:31] @Blacky [Skjöll] [306128089266520066] :   husch
[07.06.2017 | 23:57:32] @Blacky [Skjöll] [306128089266520066] :   husch
[07.06.2017 | 23:57:39] @Blacky [Skjöll] [306128089266520066] :   bis montag 23:30
[07.06.2017 | 23:57:53] @Eradan [222695270377455617] :   ich wäre noch anwesend
[07.06.2017 | 23:58:01] @Lea [284381796559355904] :   jaaa ich geh ja schon ^^
[07.06.2017 | 23:58:11] @Lea [Firiel] [257980400599564292] :   bin theoretisch auch noch da^^
