[08.06.2017 | 00:08:19] @Eradan [222695270377455617] :   jetzt bin ich ganz allein ?
[08.06.2017 | 00:08:38] @Annondir [285510544532832258] :   Nicht traurig sein
[08.06.2017 | 00:08:43] @Annondir [285510544532832258] :   [happy]
[08.06.2017 | 00:09:03] @Eradan [222695270377455617] :   ?
[08.06.2017 | 00:09:13] @Annondir [285510544532832258] :   [sad]
[08.06.2017 | 00:10:03] @Lea [284381796559355904] :   Du weißt, ich bin nur gegangen weil ich morgen früh raus muss und müde unbrauchbar bin, und nicht weil ich nicht mehr mit dir quatschen wollte :3
[08.06.2017 | 00:10:13] @Eradan [222695270377455617] :   i know
[08.06.2017 | 00:10:26] @Eradan [222695270377455617] :   trotzdem bin ich jetzt ganz alleine
[08.06.2017 | 00:11:01] @Eradan [222695270377455617] :   wenigstens ist dsaBot noch für mich da
[08.06.2017 | 00:11:04] @Eradan [222695270377455617] :   3w20
[08.06.2017 | 00:11:05] @DSABot [320884264956723203] :   8, 10, 16
[08.06.2017 | 00:11:09] @Annondir [285510544532832258] :   xD
[08.06.2017 | 00:11:18] @Eradan [222695270377455617] :   du verstehst mich boti
[08.06.2017 | 00:11:22] @Eradan [222695270377455617] :   2w6
[08.06.2017 | 00:11:23] @DSABot [320884264956723203] :   4, 1
[08.06.2017 | 00:11:26] @Annondir [285510544532832258] :   Nein tut er nicht
[08.06.2017 | 00:11:33] @Annondir [285510544532832258] :   [ragequit]
[08.06.2017 | 00:11:38] @Eradan [222695270377455617] :   3w6
[08.06.2017 | 00:11:39] @DSABot [320884264956723203] :   2, 6, 1
[08.06.2017 | 00:11:44] @Eradan [222695270377455617] :   oh ne eins
[08.06.2017 | 00:11:45] @Eradan [222695270377455617] :   am ende
[08.06.2017 | 00:11:47] @Annondir [285510544532832258] :   Das ist mein Boti
[08.06.2017 | 00:11:50] @Eradan [222695270377455617] :   3w6
[08.06.2017 | 00:11:51] @DSABot [320884264956723203] :   5, 4, 2
[08.06.2017 | 00:11:51] @Annondir [285510544532832258] :   [rage]
[08.06.2017 | 00:20:05] @Eradan [222695270377455617] :   3w20
[08.06.2017 | 00:20:06] @DSABot [320884264956723203] :   9, 18, 11
[08.06.2017 | 00:20:26] @Eradan [222695270377455617] :   er ist doch für mich da ?
[08.06.2017 | 00:20:48] @Annondir [285510544532832258] :   Jetzt Nemmer
[08.06.2017 | 00:20:51] @Annondir [285510544532832258] :   [lenny]
[08.06.2017 | 00:20:56] @Eradan [222695270377455617] :   3w20
[08.06.2017 | 00:20:59] @Eradan [222695270377455617] :   hey
[08.06.2017 | 00:21:04] @Eradan [222695270377455617] :   ?
[08.06.2017 | 00:21:47] @Annondir [285510544532832258] :   Der bleibt jetzt bis nächste Woche aus
[08.06.2017 | 00:21:50] @Annondir [285510544532832258] :   [lenny]
[08.06.2017 | 00:22:01] @Eradan [222695270377455617] :   ? ?
[08.06.2017 | 00:22:53] @Annondir [285510544532832258] :   Wenn ich schlafen gehe geht auch Boti schlafen ?
[08.06.2017 | 00:23:23] @Eradan [222695270377455617] :   ?
[08.06.2017 | 00:24:30] @Annondir [285510544532832258] :   Und ich hoffe ihr braucht ihn nicht bis Montag, hab kein Bock mein PC so lange laufen zu lassen xD
[08.06.2017 | 00:24:53] @Eradan [222695270377455617] :   ne montag ist erst nächste runde
[08.06.2017 | 00:25:03] @Annondir [285510544532832258] :   Dann ist gut ?
[08.06.2017 | 00:25:29] @Annondir [285510544532832258] :   Ihr könnt mir auch nen Rasperry Pi kaufen, dann ist Boti durchgehend da xD
