[07.06.2017 | 18:27:49] @Annondir [285510544532832258] :   !log create
[07.06.2017 | 18:28:38] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 18:28:38] @DSABot [320884264956723203] :   16, 13, 5
[07.06.2017 | 18:28:46] @Blacky [Skjöll] [306128089266520066] :   3w20
[07.06.2017 | 18:28:46] @DSABot [320884264956723203] :   7, 3, 6
[07.06.2017 | 18:28:58] @Blacky [Skjöll] [306128089266520066] :   8.6.7
[07.06.2017 | 18:29:06] @Blacky [Skjöll] [306128089266520066] :   10.19,8
[07.06.2017 | 18:29:18] @Lea [284381796559355904] :   11,5,9
[07.06.2017 | 18:29:30] @Eradan [222695270377455617] :   12, 20, 10
[07.06.2017 | 18:29:31] @Blacky [Skjöll] [306128089266520066] :   1000w20
[07.06.2017 | 18:29:35] @Blacky [Skjöll] [306128089266520066] :   99w20
[07.06.2017 | 18:29:38] @Blacky [Skjöll] [306128089266520066] :   4w20
[07.06.2017 | 18:30:24] @Annondir [285510544532832258] :   es geht bis her nur bis 3w20 und 3w6 xD
[07.06.2017 | 18:32:18] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 18:32:18] @DSABot [320884264956723203] :   17, 11, 3
[07.06.2017 | 18:40:52] @Blacky [Skjöll] [306128089266520066] :   1w20
[07.06.2017 | 18:40:57] @Blacky [Skjöll] [306128089266520066] :   w20
[07.06.2017 | 18:40:57] @DSABot [320884264956723203] :   18
[07.06.2017 | 18:50:33] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 18:50:33] @DSABot [320884264956723203] :   10, 2, 9
[07.06.2017 | 18:56:48] @Lea [284381796559355904] :   3w20
[07.06.2017 | 18:56:49] @DSABot [320884264956723203] :   1, 10, 14
[07.06.2017 | 18:59:15] @Eradan [222695270377455617] :   w20
[07.06.2017 | 18:59:15] @DSABot [320884264956723203] :   2
[07.06.2017 | 19:08:42] @Lea [284381796559355904] :   3w20
[07.06.2017 | 19:08:43] @DSABot [320884264956723203] :   20, 17, 8
[07.06.2017 | 19:08:54] @Lea [284381796559355904] :   w20
[07.06.2017 | 19:08:54] @DSABot [320884264956723203] :   12
[07.06.2017 | 19:09:01] @Annondir [285510544532832258] :   Uh, eine 20 xD
[07.06.2017 | 19:10:04] @Blacky [Skjöll] [306128089266520066] :   w20
[07.06.2017 | 19:10:05] @DSABot [320884264956723203] :   12
[07.06.2017 | 19:12:46] @Lea [284381796559355904] :   w20
[07.06.2017 | 19:12:46] @DSABot [320884264956723203] :   16
[07.06.2017 | 19:13:22] @Lea [284381796559355904] :   w20
[07.06.2017 | 19:13:22] @DSABot [320884264956723203] :   5
[07.06.2017 | 19:13:53] @Annondir [285510544532832258] :   Der Bot funktionert, endlich😂
[07.06.2017 | 19:14:00] @Lea [284381796559355904] :   Hast du gut gemacht ^^
[07.06.2017 | 19:14:08] @Annondir [285510544532832258] :   Dankö 😄
[07.06.2017 | 19:14:54] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 19:14:55] @DSABot [320884264956723203] :   13, 7, 1
[07.06.2017 | 19:15:04] @Lea [284381796559355904] :   3w20
[07.06.2017 | 19:15:04] @DSABot [320884264956723203] :   4, 3, 12
[07.06.2017 | 19:15:20] @Blacky [Skjöll] [306128089266520066] :   
[07.06.2017 | 19:35:07] @Blacky [Skjöll] [306128089266520066] :   
[07.06.2017 | 19:46:19] @Blacky [Skjöll] [306128089266520066] :   
[07.06.2017 | 19:48:23] @Eradan [222695270377455617] :   w20
[07.06.2017 | 19:48:24] @DSABot [320884264956723203] :   15
[07.06.2017 | 19:48:39] @Lea [284381796559355904] :   w20
[07.06.2017 | 19:48:39] @DSABot [320884264956723203] :   19
[07.06.2017 | 19:52:26] @Annondir [285510544532832258] :   Iwie hab ich das Gefühl es kommen oft schlechtere Zahlen xD
[07.06.2017 | 19:52:58] @Lea [284381796559355904] :   is halt zufall :p
[07.06.2017 | 19:53:04] @Lea [284381796559355904] :   w20
[07.06.2017 | 19:53:04] @DSABot [320884264956723203] :   9
[07.06.2017 | 19:56:39] @Annondir [285510544532832258] :   Jop xD
[07.06.2017 | 19:57:17] @Blacky [Skjöll] [306128089266520066] :   
[07.06.2017 | 19:57:55] @Annondir [285510544532832258] :   Okey, is relativ ausgeglichen
Bei 20 Versuchen:
2x1
2x2
2x7
1x8
2x9
2x10
3x12
1x14
1x15
1x17
2x19
1x20
[07.06.2017 | 19:58:14] @Eradan [222695270377455617] :   gute statistik
[07.06.2017 | 19:58:45] @Annondir [285510544532832258] :   statistik🤔 
Soll ich eine einbauen? xD
[07.06.2017 | 19:59:31] @Eradan [222695270377455617] :   mach mal 😂
[07.06.2017 | 20:00:57] @Lea [284381796559355904] :   w20
[07.06.2017 | 20:00:57] @DSABot [320884264956723203] :   9
[07.06.2017 | 20:04:28] @Lea [284381796559355904] :   w20
[07.06.2017 | 20:04:28] @DSABot [320884264956723203] :   1
[07.06.2017 | 20:04:31] @Eradan [222695270377455617] :   w20
[07.06.2017 | 20:04:31] @DSABot [320884264956723203] :   15
[07.06.2017 | 20:04:36] @Lea [284381796559355904] :   w20
[07.06.2017 | 20:04:37] @DSABot [320884264956723203] :   12
[07.06.2017 | 20:05:38] @Eradan [222695270377455617] :   w20
[07.06.2017 | 20:05:38] @DSABot [320884264956723203] :   11
[07.06.2017 | 20:07:27] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 20:07:27] @DSABot [320884264956723203] :   9, 8, 7
[07.06.2017 | 20:08:34] @Lea [284381796559355904] :   w20
[07.06.2017 | 20:08:34] @DSABot [320884264956723203] :   16
[07.06.2017 | 20:13:54] @Annondir [285510544532832258] :   ich mach die stats nacher. muss jetzt aufräumen und packen für Thing
[07.06.2017 | 20:13:57] @Annondir [285510544532832258] :   [happy}
[07.06.2017 | 20:14:04] @Annondir [285510544532832258] :   [happy]
[07.06.2017 | 20:15:11] @Lea [284381796559355904] :   wie hat mans geschafft da den hinzukommen. is nur für orgas oder?
[07.06.2017 | 20:15:38] @Annondir [285510544532832258] :   Für Orga und Team
[07.06.2017 | 20:15:55] @Lea [284381796559355904] :   ich wünsche viel spaß ^^
[07.06.2017 | 20:16:09] @Annondir [285510544532832258] :   Dankö^^
[07.06.2017 | 20:16:11] @Annondir [285510544532832258] :   [happy]
[07.06.2017 | 20:16:33] @Lea [284381796559355904] :   du darfst dann berichten wies war :p
[07.06.2017 | 20:16:41] @Annondir [285510544532832258] :   mach ich
[07.06.2017 | 20:16:44] @Annondir [285510544532832258] :   [lenny]
[07.06.2017 | 20:23:01] @Lea [284381796559355904] :   w20
[07.06.2017 | 20:23:02] @DSABot [320884264956723203] :   15
[07.06.2017 | 20:27:14] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 20:27:14] @DSABot [320884264956723203] :   4, 7, 18
[07.06.2017 | 20:27:28] @Lea [284381796559355904] :   3w20
[07.06.2017 | 20:27:29] @DSABot [320884264956723203] :   8, 18, 19
[07.06.2017 | 20:29:42] @Lea [284381796559355904] :   w20
[07.06.2017 | 20:29:42] @DSABot [320884264956723203] :   19
[07.06.2017 | 20:29:58] @Eradan [222695270377455617] :   w20
[07.06.2017 | 20:29:58] @DSABot [320884264956723203] :   2
[07.06.2017 | 20:31:40] @Blacky [Skjöll] [306128089266520066] :   zeichnung evtl
