[07.06.2017 | 22:27:42] @Annondir [285510544532832258] :   !log create channel
[07.06.2017 | 22:28:06] @Annondir [285510544532832258] :   !mentioned channel
[07.06.2017 | 22:28:06] @Annondir [285510544532832258] :   0
[07.06.2017 | 22:28:11] @Annondir [285510544532832258] :   !mentioned global
[07.06.2017 | 22:28:11] @Annondir [285510544532832258] :   0
[07.06.2017 | 22:28:16] @Annondir [285510544532832258] :   @Annondir
[07.06.2017 | 22:28:21] @Annondir [285510544532832258] :   !mentioned channel
[07.06.2017 | 22:28:21] @Annondir [285510544532832258] :   1
[07.06.2017 | 22:28:44] @Annondir [285510544532832258] :   !mentioned channel
[07.06.2017 | 22:28:44] @Annondir [285510544532832258] :   1
[07.06.2017 | 22:28:49] @Annondir [285510544532832258] :   !mentioned global
[07.06.2017 | 22:28:49] @Annondir [285510544532832258] :   2
[07.06.2017 | 22:29:19] @Annondir [285510544532832258] :   !messages channel
[07.06.2017 | 22:29:19] @Annondir [285510544532832258] :   12
[07.06.2017 | 22:30:59] @Annondir [285510544532832258] :   !messages channeö
[07.06.2017 | 22:31:03] @Annondir [285510544532832258] :   !messages channel
[07.06.2017 | 22:31:04] @Annondir [285510544532832258] :   15
