[13.06.2017 | 22:55:19] @Annondir [285510544532832258] :   !mentioned channel
[13.06.2017 | 22:55:49] @Annondir [285510544532832258] :   !mentioned global
[13.06.2017 | 22:56:30] @Annondir [285510544532832258] :   !mentioned channel
[13.06.2017 | 22:56:37] @Annondir [285510544532832258] :   !mentioned channel
[13.06.2017 | 22:56:37] @Annondir [285510544532832258] :   a
[13.06.2017 | 22:58:02] @Annondir [285510544532832258] :   !mentioned channel
[13.06.2017 | 22:58:03] @Annondir [285510544532832258] :   d
[13.06.2017 | 22:58:04] @Annondir [285510544532832258] :   da
[13.06.2017 | 22:58:05] @Annondir [285510544532832258] :   sad
[13.06.2017 | 22:58:06] @Annondir [285510544532832258] :   das
[13.06.2017 | 22:58:06] @Annondir [285510544532832258] :   asd
[13.06.2017 | 22:58:07] @Annondir [285510544532832258] :   sda
[13.06.2017 | 22:58:08] @Annondir [285510544532832258] :   sda
[13.06.2017 | 22:58:20] @Annondir [285510544532832258] :   !messages global
