[07.06.2017 | 22:28:16] @Annondir [285510544532832258]: @Annondir
[12.06.2017 | 23:47:36] @SelbionBot [313376725960622080]: :warning:  @Annondir du hast nicht die benötigten Berechtigungen um das zu tun
[12.06.2017 | 23:47:37] @SelbionBot [313376725960622080]: :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
[12.06.2017 | 23:47:39] @SelbionBot [313376725960622080]: :warning:  @Annondir du hast nicht die benötigten Berechtigungen um das zu tun
[12.06.2017 | 23:47:40] @SelbionBot [313376725960622080]: :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
[12.06.2017 | 23:48:23] @SelbionBot [313376725960622080]: :warning:  @Annondir du hast nicht die benötigten Berechtigungen um das zu tun
[12.06.2017 | 23:48:23] @SelbionBot [313376725960622080]: :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
[12.06.2017 | 23:48:29] @SelbionBot [313376725960622080]: :warning:  @Annondir du hast nicht die benötigten Berechtigungen um das zu tun
[12.06.2017 | 23:48:29] @SelbionBot [313376725960622080]: :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
[12.06.2017 | 23:48:39] @SelbionBot [313376725960622080]: :warning:  @Annondir du hast nicht die benötigten Berechtigungen um das zu tun
[12.06.2017 | 23:48:40] @SelbionBot [313376725960622080]: :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
