[07.06.2017 | 22:27:51] @Annondir [285510544532832258] :   !log create channel
[07.06.2017 | 22:27:58] @Annondir [285510544532832258] :   !mentioned channel
[07.06.2017 | 22:27:59] @Annondir [285510544532832258] :   0
[07.06.2017 | 22:28:27] @Annondir [285510544532832258] :   !mentioned channel
[07.06.2017 | 22:28:28] @Annondir [285510544532832258] :   0
[07.06.2017 | 22:28:32] @Annondir [285510544532832258] :   @Annondir
[07.06.2017 | 22:28:41] @Annondir [285510544532832258] :   !mentioned channel
[07.06.2017 | 22:28:41] @Annondir [285510544532832258] :   1
[07.06.2017 | 22:29:27] @Annondir [285510544532832258] :   !messages channel
[07.06.2017 | 22:29:27] @Annondir [285510544532832258] :   8
[07.06.2017 | 22:29:31] @Annondir [285510544532832258] :   !messages global
[07.06.2017 | 22:29:31] @Annondir [285510544532832258] :   2
[07.06.2017 | 22:31:10] @Annondir [285510544532832258] :   !messages channel
[07.06.2017 | 22:31:10] @Annondir [285510544532832258] :   12
[07.06.2017 | 22:31:15] @Annondir [285510544532832258] :   !messages global
[07.06.2017 | 22:31:15] @Annondir [285510544532832258] :   40
[07.06.2017 | 22:31:55] @Annondir [285510544532832258] :   !messages global
[07.06.2017 | 22:31:55] @Annondir [285510544532832258] :   44
[07.06.2017 | 22:34:00] @Annondir [285510544532832258] :   !messages channel
[07.06.2017 | 22:34:06] @Annondir [285510544532832258] :   !messages global
[07.06.2017 | 22:34:15] @Annondir [285510544532832258] :   !messages global
[07.06.2017 | 22:34:30] @Annondir [285510544532832258] :   !mentioned channel
[07.06.2017 | 22:34:37] @Annondir [285510544532832258] :   !mentioned global
[07.06.2017 | 22:42:46] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 22:42:47] @SelbionBot [313376725960622080] :   
[07.06.2017 | 22:42:47] @SelbionBot [313376725960622080] :   @everyone
[07.06.2017 | 22:44:41] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 22:44:41] @SelbionBot [313376725960622080] :   
[07.06.2017 | 22:44:41] @SelbionBot [313376725960622080] :   @everyone
[07.06.2017 | 22:44:49] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 22:44:49] @SelbionBot [313376725960622080] :   
[07.06.2017 | 22:44:50] @SelbionBot [313376725960622080] :   @everyone
[07.06.2017 | 22:44:58] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 22:44:58] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
[07.06.2017 | 22:49:44] @Annondir [285510544532832258] :   !messages global
[07.06.2017 | 22:50:58] @Annondir [285510544532832258] :   !messages channel
[07.06.2017 | 23:13:52] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 23:13:53] @SelbionBot [313376725960622080] :   
[07.06.2017 | 23:13:53] @SelbionBot [313376725960622080] :   @Elf dsada
[07.06.2017 | 23:14:13] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 23:14:13] @SelbionBot [313376725960622080] :   
[07.06.2017 | 23:14:13] @SelbionBot [313376725960622080] :   @everyone dsada
[07.06.2017 | 23:14:48] @Annondir [285510544532832258] :   @Elf
[07.06.2017 | 23:19:16] @Annondir [285510544532832258] :   @Elf
[07.06.2017 | 23:19:19] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 23:19:19] @SelbionBot [313376725960622080] :   
[07.06.2017 | 23:19:20] @SelbionBot [313376725960622080] :   @everyone dsada
[07.06.2017 | 23:19:35] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 23:19:35] @SelbionBot [313376725960622080] :   
[07.06.2017 | 23:19:35] @SelbionBot [313376725960622080] :   @Elf dsada
[07.06.2017 | 23:21:07] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 23:21:07] @SelbionBot [313376725960622080] :   
[07.06.2017 | 23:21:08] @SelbionBot [313376725960622080] :   @[R:Elf(314724255143165953)] dsada
[07.06.2017 | 23:23:30] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 23:23:31] @SelbionBot [313376725960622080] :   
[07.06.2017 | 23:23:31] @SelbionBot [313376725960622080] :   @false dsada
[07.06.2017 | 23:24:06] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 23:24:07] @SelbionBot [313376725960622080] :   
[07.06.2017 | 23:24:08] @SelbionBot [313376725960622080] :   @[R:Elf(314724255143165953)] dsada
[07.06.2017 | 23:26:18] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 23:27:01] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 23:27:01] @SelbionBot [313376725960622080] :   
[07.06.2017 | 23:27:02] @SelbionBot [313376725960622080] :   @Elf
dsada
[07.06.2017 | 23:27:15] @Annondir [285510544532832258] :   !elf
[07.06.2017 | 23:27:15] @SelbionBot [313376725960622080] :   
[07.06.2017 | 23:27:16] @SelbionBot [313376725960622080] :   @Elf
[07.06.2017 | 23:47:18] @Annondir [285510544532832258] :   @Elf
[07.06.2017 | 23:47:26] @Annondir [285510544532832258] :   !messages global
[07.06.2017 | 23:47:32] @Annondir [285510544532832258] :   !messages channel
[07.06.2017 | 23:49:09] @Annondir [285510544532832258] :   !elf
