[13.06.2017 | 00:01:24] Pen&Paper [318850953208135680] || ot-chat [318850953208135680] @Tomte [Ellenoth] [231454342245384203] :   muss kurz weg
[13.06.2017 | 00:01:53] Pen&Paper [318850953208135680] || ot-chat [318850953208135680] @Blacky [Skjöll] [306128089266520066] :   LEUTE NOCH DA
[13.06.2017 | 00:01:56] Pen&Paper [318850953208135680] || ot-chat [318850953208135680] @Blacky [Skjöll] [306128089266520066] :   -:-
[13.06.2017 | 00:01:58] Pen&Paper [318850953208135680] || ot-chat [318850953208135680] @Blacky [Skjöll] [306128089266520066] :   -.-
[13.06.2017 | 00:02:00] Pen&Paper [318850953208135680] || wuerfel-chat [321335390164221953] @Annondir [285510544532832258] :   3w20
[13.06.2017 | 00:02:00] Pen&Paper [318850953208135680] || wuerfel-chat [321335390164221953] @DSABot [320884264956723203] :   4, 16, 16
[13.06.2017 | 00:02:19] Pen&Paper [318850953208135680] || ot-chat [318850953208135680] @Blacky [Skjöll] [306128089266520066] :   WENN KEINER WILL KÖNNEN WIR UNS AUCH HINLEGEN
[13.06.2017 | 00:02:22] Pen&Paper [318850953208135680] || ot-chat [318850953208135680] @Blacky [Skjöll] [306128089266520066] :   T_T
[13.06.2017 | 00:02:38] Pen&Paper [318850953208135680] || ot-chat [318850953208135680] @Eradan [222695270377455617] :   hörst du mich
[13.06.2017 | 00:04:08] Pen&Paper [318850953208135680] || ot-chat [318850953208135680] @Blacky [Skjöll] [306128089266520066] :   w20
[13.06.2017 | 00:04:08] Pen&Paper [318850953208135680] || ot-chat [318850953208135680] @DSABot [320884264956723203] :   20
[13.06.2017 | 17:25:25] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   jup
[13.06.2017 | 17:25:42] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   hab ich gemacht, bringt aber nichts
[13.06.2017 | 17:26:59] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Lord Nightcore [315499915851857922] :   fahr mal mit der maus drüber aber klick nichts an und send nen screen
[13.06.2017 | 17:27:44] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Skillkiller [98719514908188672] :   Aber wenn es null ist weißt du wenigstens wann ein Error ausgelöst wurde ?
[13.06.2017 | 17:28:03] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Skillkiller [98719514908188672] :   Lade mal deine gesamte Class auf Pastebin, Hastebin, Gist mir egal
[13.06.2017 | 17:29:28] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   https://pastebin.com/ywXV7PKB
[13.06.2017 | 17:42:30] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @zekro [221905671296253953] :   Arbeite momentan btw daran, den -dev command in den @?? Knecht zu porten ^^
[13.06.2017 | 17:42:32] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @zekro [221905671296253953] :   ;dev java html css c# ficke lel xd
[13.06.2017 | 17:42:33] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @devBot [287538435655204864] :   
[13.06.2017 | 17:43:09] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   wer hat grad bock irgendwas zu spiele ^^
[13.06.2017 | 17:43:21] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @AveronTV [170815084271108096] :   hab CSGO und Minecraft und andere spiele
[13.06.2017 | 18:00:05] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @Skillkiller [98719514908188672] :   Brauchen eher bei CSS, PHP und JavaScript hilfe
[13.06.2017 | 18:01:51] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Front. [318773753796624394] :   GTA?
