[07.06.2017 | 22:28:16] Testserver [285562876561981441] || general [285562876561981441] @Annondir [285510544532832258] :   @Annondir
[07.06.2017 | 22:28:32] Testserver [285562876561981441] || voicelog [313750378418143232] @Annondir [285510544532832258] :   @Annondir
[07.06.2017 | 22:44:58] Testserver [285562876561981441] || voicelog [313750378418143232] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benÃ¶tigten Berechtigungn, um das zu tun!
[12.06.2017 | 19:37:46] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   @Annondir kannst wieder joinen
[12.06.2017 | 20:13:04] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   @Annondir noch da?
[12.06.2017 | 23:47:36] Testserver [285562876561981441] || general [285562876561981441] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungen um das zu tun
[12.06.2017 | 23:47:37] Testserver [285562876561981441] || general [285562876561981441] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
[12.06.2017 | 23:47:39] Testserver [285562876561981441] || general [285562876561981441] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungen um das zu tun
[12.06.2017 | 23:47:40] Testserver [285562876561981441] || general [285562876561981441] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
[12.06.2017 | 23:48:23] Testserver [285562876561981441] || general [285562876561981441] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungen um das zu tun
[12.06.2017 | 23:48:23] Testserver [285562876561981441] || general [285562876561981441] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
[12.06.2017 | 23:48:29] Testserver [285562876561981441] || general [285562876561981441] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungen um das zu tun
[12.06.2017 | 23:48:29] Testserver [285562876561981441] || general [285562876561981441] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
[12.06.2017 | 23:48:39] Testserver [285562876561981441] || general [285562876561981441] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungen um das zu tun
[12.06.2017 | 23:48:40] Testserver [285562876561981441] || general [285562876561981441] @SelbionBot [313376725960622080] :   :warning:  @Annondir du hast nicht die benötigten Berechtigungn, um das zu tun!
